dag_id,instanz,im_code,laeuft,schedule,takt_s,laeufe_30d,median_dauer_s,signale,beleg
geoeditors_public_monthly,airflow-main,1,1,"'@monthly'",2419200.0,0,168065.5,,main/dags/geoeditors/geoeditors_public_monthly_dag.py:52
geoeditors_yearly,,1,0,"'@yearly'",31536000.0,0,,,main/dags/geoeditors/geoeditors_yearly_dag.py:36
geoip_test,airflow-test-k8s,0,1,"",,18,37.2,,
glent_weekly,airflow-search,1,1,"'0 2 * * 6'",604800.0,2,17697.0,depends_on_past;max_active_runs,search/dags/glent_weekly.py:84
gobblin_event_default,airflow-main,0,1,"",,1417,186.7,,
gobblin_event_default_test,airflow-analytics-test,0,1,"",,713,83.2,,
gobblin_eventlogging_legacy,airflow-main,0,1,"",,1412,108.7,,
gobblin_eventlogging_legacy_test,airflow-analytics-test,0,1,"",,713,82.3,,
gobblin_netflow,airflow-main,0,1,"",,2120,127.8,,
gobblin_webrequest_frontend,airflow-main,0,1,"",,2125,201.4,,
gobblin_webrequest_frontend_test,airflow-analytics-test,0,1,"",,4266,83.1,,
gobblin_webrequest_sampled,airflow-main,0,1,"",,1414,97.3,,
google_search_console_to_hdfs_daily,airflow-dev,0,1,"",,3,18714.7,,
growthbook_hourly,airflow-analytics-product,1,1,"'@hourly'",3600.0,706,6629.5,,analytics_product/dags/growthbook/growthbook_hourly_dag.py:46
growthbook_ldap_sync,airflow-test-k8s,0,1,"",,868,19.3,,
growthbook_next_ldap_sync,airflow-test-k8s,0,1,"",,822,19.8,,
hdfs_usage_weekly,airflow-main,1,1,"'0 0 * * 1'",604800.0,3,24051.7,,main/dags/hdfs_usage/hdfs_usage_weekly_dag.py:96
hive_partition_sensor,airflow-test-k8s,0,1,"",,505,4517.5,,
image_suggestions_manual,,1,0,"None",,0,,depends_on_past,search/dags/transfer_to_es.py:103
image_suggestions_weekly,airflow-search,1,1,"'0 0 * * 4'",604800.0,2,183570.5,depends_on_past,search/dags/transfer_to_es.py:129
import_cirrus_indexes_weekly,airflow-search,1,1,"'0 0 * * 0'",604800.0,2,48694.5,max_active_runs,search/dags/import_cirrus_indexes.py:233
import_commons_ttl,airflow-search,1,1,"'0 3 * * 3'",604800.0,1,98876.7,max_active_runs,search/dags/import_ttl.py:125
import_enterprise_snapshots_weekly,airflow-search,0,1,"",,2,3599.8,,
import_semsearch_index_weekly,airflow-search,0,1,"",,4,15162.8,,
import_ttl_init,,1,0,"'@once'",,0,,,search/dags/import_ttl.py:85
import_wikidata_ttl,airflow-search,1,1,"'0 3 * * 5'",604800.0,1,20662.5,max_active_runs,search/dags/import_ttl.py:195
incoming_links_weekly,airflow-search,1,1,"'0 0 * * 0'",604800.0,2,49454.1,max_active_runs,search/dags/incoming_links.py:42
ingestion_wikis_monthly,airflow-main,1,1,"'@monthly'",2419200.0,2,3758.0,,main/dags/mediawiki/database/ingestion_wikis_monthly_dag.py:45
interlanguage_daily,airflow-main,1,1,"'@daily'",86400.0,28,8326.2,,main/dags/interlanguage/interlanguage_daily_dag.py:47
ja3n_ua_hourly,airflow-main,1,1,"'@hourly'",3600.0,712,7057.2,,main/dags/ja3n_ua/ja3n_ua_hourly_dag.py:33
k8s_pod_operator,airflow-test-k8s,0,1,"",,18,34.9,,
knowledge_gaps,,1,0,"'@monthly'",2419200.0,0,,,research/dags/knowledge_gaps_dag.py:86
load_commons_impact_metrics,airflow-main,1,1,"'@monthly'",2419200.0,0,241299.8,,main/dags/cassandra_load/cassandra_load_commons_impact_metrics_dag.py:117
load_configurations_daily,airflow-analytics-product,1,1,"'@daily'",86400.0,29,123.2,,analytics_product/dags/experiment_analytics/experiment_analytics_load_configurations_daily_dag.py:40
maintenance_cleanup_airflow_db,airflow-analytics-product,1,1,"'0 16 * * *'",86400.0,27,42.9,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-analytics-test,1,1,"'0 16 * * *'",86400.0,27,50.0,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-dev,1,1,"'0 16 * * *'",86400.0,0,24.7,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-fr-tech,1,1,"'0 16 * * *'",86400.0,27,33.7,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-main,1,1,"'0 16 * * *'",86400.0,28,622.8,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-ml,1,1,"'0 16 * * *'",86400.0,28,33.9,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-platform-eng,1,1,"'0 16 * * *'",86400.0,28,46.7,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-research,1,1,"'0 16 * * *'",86400.0,29,56.6,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-search,1,1,"'0 16 * * *'",86400.0,28,62.8,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-sre,1,1,"'0 16 * * *'",86400.0,27,36.6,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-test-k8s,1,1,"'0 16 * * *'",86400.0,19,65.4,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-wikidata,1,1,"'0 16 * * *'",86400.0,27,36.0,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_airflow_db,airflow-wmde,1,1,"'0 16 * * *'",86400.0,28,37.7,max_active_runs,wmf_airflow_common/factories/db_cleaner_dag_factory.py:154
maintenance_cleanup_expired_logs,airflow-analytics-product,1,1,"'0 10 * * *'",86400.0,27,12.7,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-analytics-test,1,1,"'0 10 * * *'",86400.0,28,12.0,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-dev,1,1,"'0 10 * * *'",86400.0,0,6.3,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-fr-tech,1,1,"'0 10 * * *'",86400.0,26,13.7,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-main,1,1,"'0 10 * * *'",86400.0,27,23.8,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-ml,1,1,"'0 10 * * *'",86400.0,27,12.7,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-platform-eng,1,1,"'0 10 * * *'",86400.0,27,12.4,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-research,1,1,"'0 10 * * *'",86400.0,27,10.5,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
maintenance_cleanup_expired_logs,airflow-search,1,1,"'0 10 * * *'",86400.0,28,13.2,,wmf_airflow_common/factories/log_cleaner_dag_factory.py:18
